id,tytul,autor,ilosc,kategoria
1,"Podróże z kapitanem zdrówko","Chorągiew Łódzka ZHP",2,Programy
2,"Mam szczerą wolę","Marcin Binasiak, Emilia Kulczyk",17,Programy
3,"Każdy inny, wszyscy równi","Emilia Kulczyk-Prus",11,Programy
4,"Kierunek Azja","Emilia Kulczyk-Prus",11,Programy
5,"Teraz Afryka","Emilia Kulczyk-Prus, Robert Zduńczyk",6,Programy
6,"Chcę wiedzieć więcej niż wiem, umieć więcej niż umiem","Emilia Kulczyk-Prus",10,Programy
7,"Rok regionów","Maciej Młynarczyk, Emilia Kulczyk-Prus",8,Programy
8,Braterstwo,"Emilia Kulczyk",6,Programy
9,"W zdrowym ciele zdrowy druh","Joanna Fojt, Emilia Kulczyk-Prus",6,Programy
10,"Dawno, dawno temu, kiedy wszystko się zaczęło","Emilia Kulczyk-Prus",13,Programy
11,"Światozmieniacze cel: dobro","Anna Książek, Emilia Kulczyk-Prus",16,Programy
12,"Ekonomia jest kobietą","Anna Książek",8,Programy
13,"Stop bierności, wyzwolić energię","Anna Kasprowicz, Emilia Kulczyk-Prus",13,Programy
14,"Harcerski paszport do Europy","Ewa Prędka",9,Programy
15,"Szlak ku Europie","Jacek Smura",1,Programy
16,Zucholandia,"Sławomir Rudziński",3,Programy
17,"Moje ojczyzny","",10,Programy
18,"Razem przeciwko agresji","Agnieszka Kazek, Emilia Kulczyk-Prus",2,Programy
19,"Ponad granicami","Martyna Abratkiewicz",1,Programy
20,"Od samorządności do demokracji","Główna Kwatera",4,Programy
21,"Ponad Barierami","Helena Bull, Adam Czetwertyński, Agnieszka Kazek",1,Programy
22,"Poradnik drużynowego gromady zuchowej","Ewa Prędka",1,"Metodyka zuchowa"
23,"Zostań drużynowym Zuchów","Mieczysław Siemieński",1,"Metodyka zuchowa"
24,"Barwny świat zucha ","Instruktorski krąg pokoleń ""Romanosy""",1,"Metodyka zuchowa"
25,"100 wspaniałych zbiórek tematycznych cz.1","Hm. Stefan Romanowski",1,"Metodyka zuchowa"
26,"Piosenki i pląsy w gromadzie","Instruktorski krąg pokoleń ""Romanosy""",7,"Metodyka zuchowa"
27,"Sprawności zuchowe","Adam Czetwertyński, Emilia Kulczyk-Prus",1,"Metodyka zuchowa"
28,Zuchy,"Marek Wardęcki",5,"Metodyka zuchowa"
29,"Zuchowa majsterka do sprawności","Stefan Wojtkiewicz",4,"Metodyka zuchowa"
30,"Zuch muzykant","Leszek Abrahamowicz, Krystyna Dudkiewicz",1,"Metodyka zuchowa"
31,"Zuch majsterek","Leszek Abrahamowicz, Krystyna Dudkiewicz",4,"Metodyka zuchowa"
32,"Zuchowe obrzędy","Urszula Kurek",5,"Metodyka zuchowa"
33,"Zuchowe ABC","Małgorzata Banasik, Barbara Bogusz",6,"Metodyka zuchowa"
34,"Gry i zabawy dla zuchów","Eugeniusz Pawłowski",1,"Metodyka zuchowa"
35,"Sprawności zuchowe cz. 1","Harcerskie Biuro Wydawnicze",4,"Metodyka zuchowa"
36,"Sprawności zuchowe cz. 2","Harcerskie Biuro Wydawnicze",1,"Metodyka zuchowa"
37,"Zuchy - zarys metodyki","Aldona Kaza, Aleksandra Kozubska",4,"Metodyka zuchowa"
38,"Kolonie zuchowe z fabułą","Stefan Wojtkiewicz",4,"Metodyka zuchowa"
39,"Zuchowe rebusy","Zbigniew Pilarczyk",2,"Metodyka zuchowa"
40,"Książka gromady zuchowej",Horyzonty,5,"Metodyka zuchowa"
41,"Z zielonym sznurem w drużynie zuchowej","Zbigniew Lewiński",5,"Metodyka zuchowa"
